Name,Building,Type,address,Location,Google map link,Phone number,Day of the week,Open/Close,Start time,End time,Dine-in,Takeout,Delivery,Rating,Reviews,Menu ( photo),Menu (list),Number of items,Name of Food,Price,Inside,Website
Chartwells,Union,Dining Services,"9112, 200 Central Campus Dr #30, Salt Lake City, UT 84112","40.76596954950687, -111.84598866660815","https://www.google.com/maps/place/Chartwells/@40.7659695,-111.8624682,15z/data=!4m9!1m2!2m1!1sdining!3m5!1s0x87525f8d83aa5531:0x87ecefe338cda472!8m2!3d40.765018!4d-111.8458863!15sCgZkaW5pbmdaCCIGZGluaW5nkgEKcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSUmRuTnlNMWxuRUFF4AEA",18015817257,Sunday,Closed,,,Yes,Yes,No,2.2,40,https://utah.catertrax.com/menuGrid.asp?mode=p&cg=6&intCustomerID=,The Morning Start,5,Continental Breakfast,12.59,"Assorted breakfast pastries and bagels, Cream cheese, Seasonal fresh fruit display, Regular and decaf coffee and assorted hot teas, Orange juice, Ice water",https://utah.catertrax.com/
,,,,,,,Monday,Open,0.333333333,0.708333333,,,,,,,,,Energy Breakfast,17.09,"Egg white scramble with potato, spinach, and tomato, Avocado toast, Seasonal fresh fruit and greek yogurt bar with house-made granola, Regular and decaf coffee and assorted hot teas, Orange juice, Ice water",
,,,,,,,Tuesday,Open,0.333333333,0.708333333,,,,,,,,,Traditional Breakfast,15.39,"Scrambled eggs, Breakfast meats, Seasoned breakfast potatoes, Seasonal fresh fruit display, Pastry assortment: Mini croissant, muffins or danishes, Regular and decaf coffee and assorted hot teas, Orange juice, Ice water",
,,,,,,,Wednesday,Open,0.333333333,0.708333333,,,,,,,,2,Hand-Crafted Breakfast Sandwiches,various,various,
,,,,,,,Thursday,Open,0.333333333,0.708333333,,,,,,,,,Breakfast a la Carte,various,"Assorted bagels and spreads - per dozen, Freshly-baked croissants - per dozen, Assorted danish - per dozen, Assorted freshly-baked muffins - per dozen, Yogurt parfait with fresh berries and granola - per person (minimum of 10 people), Overnight oats - per person (minimum of 10 people), Avocado toast - per person (minimum of 10 people), Bacon - per person (minimum of 10 people), Pork sausage - per person (minimum of 10 people), Turkey sausage - per person (minimum of 10 people), Ham - per person (minimum of 10 people), Seasonal fresh fruit display - per person (minimum of 10 people), Artisan charcuterie and cheese board - per person (minimum of 10 people), Ham and swiss cheese quiche - per person (minimum of 10 people), Greek yogurt - per person (minimum of 10 people), Tuscan kale, roasted pepper, and goat cheese quiche - per person (minimum of 10 people), Hardboiled hen eggs - per person (minimum of 10 people), Ancient grain oatmeal - per person (minimum of 10 people), Donuts - per dozen",
,,,,,,,Friday,Open,0.333333333,0.708333333,,,,,,,Balanced Breaks,,Chips and Salsa,2.49,"Lime and sea salt tortilla chips, House-made tomato salsa",
,,,,,,,Saturday,Closed,,,,,,,,,,,Mezze Spreads,8.09,"Crisp vegetables, Pita chips, Yellow lentil hummus,Classic chick pea hummus, Babaganoush",
,,,,,,,,,,,,,,,,,Sweets and Treats,1,Sweets and Treats,,"Assorted freshly-baked cookies - per dozen
 House-made fudge brownies - per dozen
Trix cereal treat wedges - per dozen
Cinnamon toast crunch cereal treat wedges - per dozen
Cocoa puffs cereal treat wedges - per dozen
Rice krispy treat cereal treat wedges - per dozen
Blondie dessert bar wedges - per dozen
M and M blondie dessert bar wedges - per dozen
 Lemon dessert bar wedges - per dozen
 Savory party mix - per dozen
 Individually bagged chips - each
 Fresh whole fruit - per dozen
 Housemade truffle plate (mocha, oreo, and birthday cake) (minimum 3 dozen) - per dozen
",
,,,,,,,,,,,,,,,,,Beverages,1,Beverages,,"Fruit infused water, Cold soda, Cold water bottles, Cold iced tea, Cold lemonade, Raspberry lemonade, Ice water, Orange Juice, Apple juice, Cranberry juice, Freshly brewed coffee, Freshly brewed decaf coffee, Hot water and assorted teas, Hot apple cider, Hot chocolate",
,,,,,,,,,,,,,,,,,Lunch Buffets,2,Classic Deli Buffet,15.99,",Fresh veggies, Fresh baked cookies, Condiments",
